,City,BHK,Location,Price (₹),Area (sqft),Property Type,Furnishing,Property Facing,overlooking,Bathroom,Balcony,Tenant Preferred,Availability
0,Hyderabad,3,Kokapet,85000,1335 sqft,Flat,Semi-Furnished,East,"Pool, Garden/Park, Main Road",3,2,Bachelors/Family,Immediately
1,Hyderabad,1,Kondapur,25000,450 sqft,Flat,Furnished,East,Main Road,1,1,Bachelors/Family,Immediately
2,Hyderabad,3,Kondapur,60000,1805 sqft,Flat,Unfurnished,West,"Garden/Park, Pool, Main Road",3,2,Bachelors,Immediately
3,Hyderabad,4,Kokapet,2.3 Lac,5030 sqft,Villa,Semi-Furnished,East,Garden/Park,5,1,Bachelors/Family,Immediately
4,Hyderabad,3,Kokapet,85000,2335 sqft,Flat,Semi-Furnished,East,"Garden/Park, Main Road",3,2,Bachelors/Family,Immediately
5,Hyderabad,1,Kondapur,15000,800 sqft,Flat,Semi-Furnished,North,Main Road,1,1,Bachelors,Immediately
6,Hyderabad,1,Kondapur,24000,450 sqft,Flat,Furnished,East,Main Road,1,1,Bachelors/Family,Immediately
7,Hyderabad,3,Kokapet,85000,2124 sqft,Flat,Semi-Furnished,East,Main Road,3,1,Bachelors,Immediately
8,Hyderabad,3,Nalagandla,55000,1740 sqft,Flat,Semi-Furnished,North - East,Garden/Park,3,3,Bachelors/Family,Immediately
9,Hyderabad,3,Narsingi,1 Lac,2660 sqft,Flat,Semi-Furnished,East,"Pool, Garden/Park, Main Road",3,1,Bachelors,Immediately
10,Hyderabad,2, ,15000,1300 sqft,Villa,Semi-Furnished,East,Main Road,2,Unknown,Bachelors/Family,Immediately
11,Hyderabad,3, ,78000,2190 sqft,Flat,Furnished,East,Garden/Park,3,1,Bachelors,Immediately
12,Hyderabad,3, ,32000,1335 sqft,Flat,Semi-Furnished,East,Main Road,3,1,Family,Immediately
13,Hyderabad,3,Kokapet,65000,2000 sqft,Flat,Semi-Furnished,East,"Pool, Garden/Park, Main Road",3,2,Bachelors,Immediately
14,Hyderabad,3,Nalagandla,53000,1495 sqft,Flat,Semi-Furnished,West,"Pool, Garden/Park, Main Road",2,1,Bachelors,Immediately
15,Hyderabad,4, ,2 Lac,2350 sqft,Flat,Semi-Furnished,West,Garden/Park,4,1,Family,Immediately
16,Hyderabad,4,Kokapet,3 Lac,5500 sqft,Villa,Semi-Furnished,East,Garden/Park,5,3,Bachelors,Immediately
17,Hyderabad,3,Kokapet,62000,12500 sqft,Flat,Semi-Furnished,East,Garden/Park,3,1,Bachelors/Family,Immediately
18,Hyderabad,3,Gachibowli,1.1 Lac,2531 sqft,Flat,Furnished,West,Main Road,5,2,Family,Immediately
19,Hyderabad,4,Manikonda,2.1 Lac,3900 sqft,Flat,Furnished,East,Garden/Park,5,2,Bachelors/Family,Immediately
20,Hyderabad,3,Nalagandla,60000,1910 sqft,Flat,Semi-Furnished,East,Garden/Park,3,2,Bachelors,Immediately
21,Hyderabad,3,Nalagandla,55000,1511 sqft,Flat,Furnished,West,Garden/Park,2,1,Bachelors,From Feb '26
22,Hyderabad,1, ,15000,710 sqft,House,Semi-Furnished,North - East,Main Road,1,1,Bachelors/Family,Immediately
23,Hyderabad,3, ,47000,2200 sqft,Villa,Furnished,West,Garden/Park,3,2,Bachelors/Family,Immediately
24,Hyderabad,1,Hafeezpet,12000,450 sqft,House,Unfurnished,East,Main Road,1,Unknown,Bachelors,Immediately
25,Hyderabad,3,Kokapet,66000,1550 sqft,Flat,Semi-Furnished,East,Main Road,3,2,Bachelors/Family,Immediately
26,Hyderabad,2, ,10000,800 sqft,House,Unfurnished,East,Main Road,2,Unknown,Bachelors/Family,Immediately
27,Hyderabad,3, ,18000,1680 sqft,House,Semi-Furnished,East,Main Road,2,Unknown,Bachelors/Family,Immediately
28,Hyderabad,3,Kondapur,65000,1450 sqft,Flat,Semi-Furnished,North,Pool,3,1,Family,Immediately
29,Hyderabad,4,Whitefield,85000,3500 sqft,Villa,Furnished,North - East,"Garden/Park, Main Road",5,2,Bachelors/Family,Immediately
30,Hyderabad,3, ,34000,1630 sqft,Flat,Semi-Furnished,East,Main Road,3,Unknown,Family,Immediately
31,Hyderabad,2, ,20000,1000 sqft,Flat,Unfurnished,East,Main Road,2,2,Bachelors/Family,Immediately
32,Hyderabad,4,Kondapur,1.2 Lac,2374 sqft,Flat,Semi-Furnished,East,Garden/Park,4,2,Bachelors,Immediately
33,Hyderabad,2,Gachibowli,60000,1300 sqft,Flat,Semi-Furnished,West,"Pool, Garden/Park, Main Road",2,1,Bachelors,Immediately
34,Hyderabad,3,Kokapet,70000,1166 sqft,Flat,Semi-Furnished,West,"Garden/Park, Main Road",3,2,Family,Immediately
35,Hyderabad,3, ,70000,2200 sqft,Flat,Semi-Furnished,East,"Garden/Park, Pool, Main Road",3,2,Bachelors/Family,Immediately
36,Hyderabad,3,Hafeezpet,55000,2000 sqft,Flat,Furnished,East,Main Road,3,3,Bachelors/Family,From Jan '26
37,Hyderabad,2,Nalagandla,44000,844 sqft,Flat,Unfurnished,West,"Garden/Park, Main Road",2,2,Bachelors/Family,Immediately
38,Hyderabad,2, ,18000,945 sqft,Flat,Semi-Furnished,North - East,Main Road,2,2,Bachelors/Family,Immediately
39,Hyderabad,3,Financial District,70000,1900 sqft,Flat,Semi-Furnished,West,Garden/Park,3,3,Bachelors/Family,Immediately
40,Hyderabad,4,Nizampet,45000,3000 sqft,Flat,Furnished,East,Garden/Park,5,2,Bachelors,Immediately
41,Hyderabad,3, ,16000,1256 sqft,Flat,Semi-Furnished,East,Garden/Park,2,1,Bachelors,Immediately
42,Hyderabad,1, ,12000,800 sqft,Flat,Semi-Furnished,North - East,Main Road,2,2,Bachelors/Family,Immediately
43,Hyderabad,2, ,75000,1700 sqft,Flat,Unfurnished,East,"Garden/Park, Main Road",2,2,Family,Immediately
44,Hyderabad,2,Uppal,26000,800 sqft,Flat,Semi-Furnished,East,Main Road,2,1,Bachelors,Immediately
45,Hyderabad,3, ,62000,2100 sqft,Flat,Furnished,North - East,Main Road,3,3,Bachelors,Immediately
46,Hyderabad,3,Kollur,70000,3000 sqft,Villa,Semi-Furnished,East,Garden/Park,5,2,Bachelors/Family,Immediately
47,Hyderabad,3,Gachibowli,75000,2200 sqft,Flat,Furnished,East,"Garden/Park, Pool, Main Road",3,2,Bachelors/Family,Immediately
48,Hyderabad,3,Kondapur,60000,1231 sqft,Flat,Semi-Furnished,West,Main Road,3,2,Bachelors/Family,Immediately
49,Hyderabad,3, ,11000,1100 sqft,Flat,Unfurnished,North,Main Road,2,2,Bachelors,Immediately
50,Hyderabad,3, ,20000,1900 sqft,House,Unfurnished,North - East,"Garden/Park, Main Road",3,3,Bachelors/Family,Immediately
51,Hyderabad,3, ,30000,1100 sqft,Flat,Semi-Furnished,East,"Garden/Park, Main Road",3,2,Bachelors/Family,Immediately
52,Hyderabad,2,Asif Nagar,14000,950 sqft,Flat,Unfurnished,East,Main Road,2,2,Bachelors,Immediately
53,Hyderabad,4,Hafeezpet,1.99 Cr,1800 sqft,Villa,Semi-Furnished,East,Main Road,4,Unknown,Bachelors/Family,Immediately
54,Hyderabad,1,Kondapur,26000,650 sqft,Flat,Furnished,East,Main Road,1,1,Bachelors/Family,Immediately
55,Hyderabad,3,Gachibowli,75000,2190 sqft,Flat,Semi-Furnished,West,Main Road,3,1,Bachelors,Immediately
56,Hyderabad,4,Kukatpally,90000,3000 sqft,Villa,Semi-Furnished,West,"Garden/Park, Pool, Main Road",5,2,Family,Immediately
57,Hyderabad,3,Gachibowli,55000,2000 sqft,Flat,Semi-Furnished,North,Main Road,2,2,Bachelors,Immediately
58,Hyderabad,3, ,30000,1800 sqft,Flat,Unfurnished,East,Main Road,2,2,Family,Immediately
59,Hyderabad,3,Uppal,33000,1500 sqft,Flat,Unfurnished,East,Garden/Park,3,1,Family,From Feb '26
60,Hyderabad,2, ,20000,910 sqft,Flat,Semi-Furnished,East,Main Road,2,Unknown,Bachelors/Family,Immediately
61,Hyderabad,1, ,25000,450 sqft,Flat,Furnished,East,"Garden/Park, Main Road",1,1,Bachelors/Family,Immediately
62,Hyderabad,4, ,65000,2900 sqft,Villa,Furnished,West,Main Road,4,2,Bachelors/Family,Immediately
63,Hyderabad,3,Banjara Hills,1.3 Lac,2200 sqft,Flat,Furnished,North - East,Garden/Park,3,1,Bachelors/Family,Immediately
64,Hyderabad,3,Hafeezpet,45000,1215 sqft,Flat,Semi-Furnished,West,Garden/Park,3,2,Bachelors,Immediately
65,Hyderabad,3,Kondapur,62000,1300 sqft,Flat,Furnished,East,Main Road,2,1,Bachelors,Immediately
66,Hyderabad,3,Kokapet,65000,1769 sqft,Flat,Semi-Furnished,East,Main Road,3,1,Bachelors/Family,Immediately
67,Hyderabad,3,Tellapur,40000,2800 sqft,Villa,Semi-Furnished,East,Main Road,3,1,Bachelors,Immediately
