City,BHK,Location,Price (₹),Area (sqft),Property Type,Furnishing,Property Facing,overlooking,Bathroom,Balcony,Tenant Preferred,Availability
Hyderabad,4,"Kokapet, Outer Ring Road Hyderabad",2.3 Lac,5030 sqft,Villa,Semi-Furnished,East,Garden/Park,5,1,Bachelors/Family,Immediately
Hyderabad,3,"Aparna Serene Park, Kondapur, Hyderabad",68000,1500 sqft,Flat,Semi-Furnished,West,Main Road,3,1,Bachelors/Family,Immediately
Hyderabad,3,"Prestige Tranquil, Kokapet, Outer Ring Road, Hyderabad",75000,1361 sqft,Flat,Semi-Furnished,East,"Pool, Garden/Park, Main Road",3,2,,
Hyderabad,1,"Kondapur, Hyderabad",15500,800 sqft,Flat,Semi-Furnished,North,Main Road,1,1,Bachelors,Immediately
Hyderabad,3,"Creative RVR Udaya Creative, Kondapur, Hyderabad",55000,2000 sqft,Flat,Semi-Furnished,East,Main Road,3,3,Bachelors/Family,Immediately
Hyderabad,3,"Prestige Beverly Hills, Kokapet, Outer Ring Road, Hyderabad",85000,2124 sqft,Flat,Semi-Furnished,East,Main Road,3,1,Bachelors,Immediately
Hyderabad,3,"GHR Titania, Kondapur, Hyderabad",58000,1750 sqft,Flat,Semi-Furnished,East,"Pool, Garden/Park, Main Road",3,1,Bachelors,Immediately
Hyderabad,3,"Rajapushpa Provincia, Kokapet, Outer Ring Road, Hyderabad",70000,2020 sqft,Flat,Semi-Furnished,West,"Garden/Park, Pool",3,1,Bachelors/Family,Immediately
Hyderabad,3,"Prestige High Fields, Gachibowli, Hyderabad",85000,1796 sqft,Flat,Semi-Furnished,East,Garden/Park,3,1,Bachelors,Immediately
Hyderabad,3,"Aditya Empress Towers, Shaikpet, Hyderabad",75000,2100 sqft,Flat,Semi-Furnished,North - East,Garden/Park,3,3,Bachelors/Family,Immediately
Hyderabad,3,"Jayabheri The Nirvana, Gachibowli, Hyderabad",85000,2190 sqft,Flat,Unfurnished,East,,3,2,Family,Immediately
Hyderabad,2,"Mallampet, Outer Ring Road Hyderabad",15000,1300 sqft,Villa,Semi-Furnished,East,Main Road,2,,Bachelors/Family,Immediately
Hyderabad,3,"My Home Tarkshya, Kokapet, Outer Ring Road, Hyderabad",65000,2000 sqft,Flat,Semi-Furnished,East,"Pool, Garden/Park, Main Road",3,2,Bachelors,Immediately
Hyderabad,3,"Aparna Sarovar Zicon, Nalagandla, Hyderabad",54000,1495 sqft,Flat,Semi-Furnished,West,"Pool, Garden/Park, Main Road",3,2,Bachelors,Immediately
Hyderabad,3,Secunderabad Hyderabad,80000,3200 sqft,House,Unfurnished,,,2,,Bachelors/Family,Immediately
Hyderabad,3,"Rajapushpa Provincia, Narsingi, Outer Ring Road, Hyderabad",65000,1715 sqft,Flat,Semi-Furnished,East,Garden/Park,3,1,Bachelors,Immediately
Hyderabad,4,"Brigade At No 7, Zahara Nagar, Hyderabad",2 Lac,2350 sqft,Flat,Semi-Furnished,West,Garden/Park,4,1,Family,Immediately
Hyderabad,2,"Prestige High Fields, Gachibowli, Hyderabad",58000,1000 sqft,Flat,Semi-Furnished,East,Main Road,2,2,Bachelors/Family,Immediately
Hyderabad,3,"Rajapushpa Regalia, Kokapet, Outer Ring Road, Hyderabad",70000,2600 sqft,Flat,Semi-Furnished,East,"Pool, Garden/Park, Main Road",3,2,Bachelors,Immediately
Hyderabad,3,"Koncept Ambience Courtyard, Manikonda Jagir, Hyderabad",53200,1344 sqft,Flat,Semi-Furnished,West,Garden/Park,3,2,Bachelors/Family,Immediately
Hyderabad,3,"Aparna Sarovar Zenith, Nalagandla, Hyderabad",58000,1560 sqft,Flat,Furnished,West,,2,1,Bachelors/Family,From Mar '26
Hyderabad,2,"Prestige Ivy League, Hitech City, Hyderabad",55000,1051 sqft,Flat,Semi-Furnished,East,Garden/Park,2,,Family,Immediately
Hyderabad,3,"Honer Aquantis, Gopanpalle, Hyderabad",60000,1610 sqft,Flat,Furnished,East,Garden/Park,3,1,Bachelors,Immediately
Hyderabad,3,"Satya Nivriti, Miyapur, NH 9, Hyderabad",29000,1632 sqft,Flat,Semi-Furnished,East,Garden/Park,3,1,Bachelors,Immediately
Hyderabad,3,Gagillapur Hyderabad,47000,2200 sqft,Villa,Furnished,West,Garden/Park,3,2,Bachelors/Family,Immediately
Hyderabad,3,"Patels Green Front, Yapral, Hyderabad",35000,1835 sqft,Flat,Semi-Furnished,West,Garden/Park,3,1,Bachelors/Family,Immediately
Hyderabad,2,"Moosarambagh, NH 9 Hyderabad",21000,1450 sqft,House,Semi-Furnished,East,Garden/Park,2,2,Bachelors,Immediately
Hyderabad,3,"Prestige Tranquil, Kokapet, Outer Ring Road, Hyderabad",63000,1800 sqft,Flat,Semi-Furnished,East,Main Road,3,2,Bachelors/Family,Immediately
Hyderabad,2,"Upperpally, Hyderabad",16500,900 sqft,Flat,Semi-Furnished,,,2,1,Bachelors/Family,Immediately
Hyderabad,2,Shadnagar Chevella Road Hyderabad,10000,600 sqft,House,Unfurnished,North,,2,1,Bachelors/Family,Immediately
Hyderabad,3,"Modi Lotus Homes, Ahmedguda, Hyderabad",10000,1100 sqft,Flat,Semi-Furnished,,,2,1,Bachelors/Family,Immediately
Hyderabad,3,Gundlapochampalli Hyderabad,30000,2500 sqft,Villa,Semi-Furnished,East,,3,1,Bachelors,Immediately
Hyderabad,3,"Aparna Sarovar, Nalagandla, Hyderabad",47000,1500 sqft,Flat,Semi-Furnished,East,Main Road,3,2,Bachelors/Family,Immediately
Hyderabad,2,Borabanda Hyderabad,25000,900 sqft,House,Semi-Furnished,,,2,1,Bachelors/Family,Immediately
Hyderabad,3,"Provident Kenworth, Rajendranagar Mandal, Hyderabad",25000,1047 sqft,Flat,Semi-Furnished,East,,2,1,Bachelors/Family,Immediately
Hyderabad,2,Hyderabad,28000,1250 sqft,Flat,Furnished,East,,2,2,Bachelors,Immediately
Hyderabad,3,Manikonda Jagir Hyderabad,65000,3000 sqft,Villa,Furnished,East,"Garden/Park, Main Road",3,2,Bachelors,Immediately
Hyderabad,3,"Jayabheri The Summit, Narsingi, Outer Ring Road, Hyderabad",85000,2000 sqft,Flat,Semi-Furnished,East,"Garden/Park, Pool",3,2,Family,Immediately
Hyderabad,3,"Banjara Hills, NH 9, Hyderabad",75000,1836 sqft,Flat,Furnished,East,Main Road,3,3,Bachelors,Immediately
Hyderabad,4,Chanda Nagar Hyderabad,70000,3200 sqft,Villa,Unfurnished,,"Garden/Park, Pool, Main Road",5,1,Bachelors/Family,Immediately
